state,survey_type,total_kindergarten_population,percent_surveyed,target,footnotes,year,percent_vaccinated,vaccination
Alabama,Census,75358,100.0,95.0,≥. *. **,2009_10,94.0,1 dose Varicella Vaccination (unknown disease history)
Alabama,"NA","NA","NA",95.0,"NA",2010_11,"NA",1 dose Varicella Vaccination (unknown disease history)
Alabama,Census,73190,100.0,95.0,≥. * .**,2011_12,93.6,1 dose Varicella Vaccination (unknown disease history)
Alabama,Census,72929,100.0,95.0,≥. * . ‡. **,2012_13,92.8,1 dose Varicella Vaccination (unknown disease history)
Alabama,Census,76927,100.0,95.0,≥. *. **,2013_14,92.0,1 dose Varicella Vaccination (unknown disease history)
Alabama,Census,59660,100.0,95.0,≥. *,2014_15,93.5,1 dose Varicella Vaccination (unknown disease history)
Alabama,Census,60392,100.0,95.0,≥.*,2015_16,93.1,1 dose Varicella Vaccination (unknown disease history)
Alabama,Census,75358,100.0,95.0,*. **,2009_10,NReq,2 doses Varicella Vaccination (unknown disease history)
Alabama,"NA","NA","NA",95.0,"NA",2010_11,"NA",2 doses Varicella Vaccination (unknown disease history)
Alabama,Census,73190,100.0,95.0,* .**,2011_12,NReq,2 doses Varicella Vaccination (unknown disease history)
Alabama,Census,72929,100.0,95.0,* . ‡. **,2012_13,NReq,2 doses Varicella Vaccination (unknown disease history)
Alabama,Census,76927,100.0,95.0,*. **,2013_14,NReq,2 doses Varicella Vaccination (unknown disease history)
Alabama,Census,59660,100.0,95.0,*,2014_15,NReq,2 doses Varicella Vaccination (unknown disease history)
Alabama,Census,60392,100.0,95.0,≥.*,2015_16,NReq,2 doses Varicella Vaccination (unknown disease history)
Alabama,Census,75358,100.0,95.0,≥. *. **,2009_10,94.0,DTP/DTaP/DT Vaccination
Alabama,"NA","NA","NA",95.0,"NA",2010_11,"NA",DTP/DTaP/DT Vaccination
Alabama,Census,73190,100.0,95.0,≥. * .**,2011_12,93.6,DTP/DTaP/DT Vaccination
Alabama,Census,72929,100.0,95.0,≥. * . ‡. **,2012_13,92.8,DTP/DTaP/DT Vaccination
Alabama,Census,76927,100.0,95.0,≥. *. **,2013_14,92.0,DTP/DTaP/DT Vaccination
Alabama,Census,59660,100.0,95.0,≥. *,2014_15,93.5,DTP/DTaP/DT Vaccination
Alabama,Census,60392,100.0,95.0,≥.*,2015_16,93.1,DTP/DTaP/DT Vaccination
Alabama,Census,75358,100.0,95.0,*. **,2009_10,NReq,Hepatitis B Vaccination
Alabama,"NA","NA","NA",95.0,"NA",2010_11,"NA",Hepatitis B Vaccination
Alabama,Census,73190,100.0,95.0,* .**,2011_12,NReq,Hepatitis B Vaccination
Alabama,Census,72929,100.0,95.0,* . ‡. **,2012_13,NReq,Hepatitis B Vaccination
Alabama,Census,76927,100.0,95.0,*. **,2013_14,NReq,Hepatitis B Vaccination
Alabama,Census,59660,100.0,95.0,*,2014_15,NReq,Hepatitis B Vaccination
Alabama,Census,60392,100.0,95.0,≥.*,2015_16,NReq,Hepatitis B Vaccination
Alabama,Census,75358,100.0,95.0,≥. *. **,2009_10,94.0,MMR Vaccination
Alabama,"NA","NA","NA",95.0,"NA",2010_11,"NA",MMR Vaccination
Alabama,Census,73190,100.0,95.0,≥. * .**,2011_12,93.6,MMR Vaccination
Alabama,Census,72929,100.0,95.0,≥. * . ‡. **,2012_13,92.8,MMR Vaccination
