site,date_parsed,title,lede,url
Reuters,2018-08-09,Musk's Tesla buyout plan could test Wall Street's nerves,"A leveraged buyout of electric carmaker Tesla could be an ominous sign of market exuberance, but investors may need more justification to run for the exits.",https://www.reuters.com/article/us-tesla-musk-markets-analysis/musks-tesla-buyout-plan-could-test-wall-streets-nerves-idUSKBN1KU0FK
Reuters,2018-08-09,Apple says it is monitoring Infowars app for content violations,Apple Inc said on Wednesday that an app belonging to popular conspiracy theorist Alex Jones remains in the company's mobile App Store because it has not been found to be in violation of any content policies.,https://www.reuters.com/article/us-apple-infowars/apple-says-it-is-monitoring-infowars-app-for-content-violations-idUSKBN1KU0BA
Reuters,2018-08-09,"New York City votes to cap Uber, Lyft vehicle licenses","The New York City Council on Wednesday agreed to cap the number of licenses for ride-hailing services such as Uber Technologies Inc for one year, dealing a blow to the companies that have relied on the largest U.S. metro area for a major source of their revenue.",https://www.reuters.com/article/us-uber-new-york/new-york-city-votes-to-cap-uber-lyft-vehicle-licenses-idUSKBN1KT2M3
Reuters,2018-08-09,"China revamps national technology leadership group, tech shares rise","China has revamped a national leadership group charged with planning and studying its key technological development strategies, signaling potential policy shifts are underway as its technological ambitions fueled a backlash abroad.",https://www.reuters.com/article/us-china-government-tech/china-revamps-national-technology-leadership-group-tech-shares-rise-idUSKBN1KU0H7
Reuters,2018-08-09,Dun & Bradstreet to go private for $5.38 billion,"Data and analytics company Dun & Bradstreet Corp said on Wednesday it would be acquired by a group of investors led by CC Capital, Cannae Holdings and funds affiliated with Thomas H. Lee Partners LP, for $5.38 billion in cash.",https://www.reuters.com/article/us-dun-bradstreet-m-a/dun-bradstreet-to-go-private-for-5-38-billion-idUSKBN1KU05Z
Reuters,2018-08-09,"China's Dada-JD Daojia raises $500 million from Walmart, JD.com","Dada-JD Daojia, a Chinese online grocery and delivery firm, said on Thursday it has raised $500 million from Walmart Inc and JD.com Inc in its latest round of financing.",https://www.reuters.com/article/us-china-walmart/chinas-dada-jd-daojia-raises-500-million-from-walmart-jd-com-idUSKBN1KU07D
Reuters,2018-08-09,Deutsche Telekom again lifts core profits guidance,"Deutsche Telekom raised its profit outlook for the second time this year as it reported second-quarter results which showed underlying growth, although this was offset by a drag from the weaker U.S. dollar.",https://www.reuters.com/article/us-deutsche-telekom-results/deutsche-telekom-again-lifts-core-profits-guidance-idUSKBN1KU0G8
Reuters,2018-08-09,After Mercari: Japanese asset managers see new era in venture capital investing,"The hugely successful IPO by online marketplace Mercari in June was a bonanza for its shareholders – and may transform lukewarm attitudes among mainstream asset managers about investing in startups, according to major Japanese institutional investors and industry officials.",https://www.reuters.com/article/us-japan-venturecapital/after-mercari-japanese-asset-managers-see-new-era-in-venture-capital-investing-idUSKBN1KU0EA
Reuters,2018-08-09,"Roku's platform drives quarterly revenue beat, shares jump","Roku Inc on Wednesday topped Wall Street estimates for quarterly revenue as its strategy to focus on its ad-supported platform paid off, with more viewers spending longer hours streaming content.",https://www.reuters.com/article/us-roku-results/rokus-platform-drives-quarterly-revenue-beat-shares-jump-idUSKBN1KT2JU
Reuters,2018-08-09,Samsung Galaxy S7 smartphones vulnerable to hacking: researchers,"Samsung's Galaxy S7 smartphones contain a microchip security  flaw, uncovered earlier this year, that has put tens of millions of devices at risk to hackers looking to spy on their users, researchers told Reuters.",https://www.reuters.com/article/us-cyber-conference-samsung-elec/samsung-galaxy-s7-smartphones-vulnerable-to-hacking-researchers-idUSKBN1KT0NL
Reuters,2018-08-09,China's Bytedance seeks to raise $3 billion at up to $75 billion valuation: sources,"Beijing Bytedance Technology Co, owner of China's leading news aggregator Jinri Toutiao, aims to raise about $3 billion in its latest funding round that would see its valuation soar to as high as $75 billion, people with direct knowledge of the matter said.",https://www.reuters.com/article/us-bytedance-fundraising/chinas-bytedance-seeks-to-raise-3-billion-at-up-to-75-billion-valuation-sources-idUSKBN1KT0YP
